,,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Model,Neighbours,,,,,,,,,,,,,,,,,,,,,,,,
CA: all,8,25.0,99.50413223140497,0.27975338858938975,98.96694214876032,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,51.148760330578526,2.599175743559847,44.83471074380165,49.17355371900827,51.85950413223141,53.099173553719005,55.578512396694215,25.0,83.96,14.09633522113697,69.0,74.0,79.0,90.0,128.0
CA: all,48,25.0,95.71900826446281,19.856715583054736,0.4132231404958678,99.58677685950413,99.58677685950413,99.79338842975206,100.0,25.0,50.14876033057852,10.813360859610809,0.4132231404958678,49.586776859504134,52.27272727272727,54.132231404958674,57.438016528925615,25.0,83.96,20.494877408757535,6.0,78.0,84.0,91.0,125.0
CA: all,120,25.0,83.73553719008264,37.0932758258227,0.4132231404958678,99.17355371900827,99.3801652892562,100.0,100.0,25.0,43.107438016528924,19.207087642212944,0.4132231404958678,47.72727272727273,50.20661157024794,52.892561983471076,56.40495867768595,25.0,72.32,31.477134558278973,4.0,70.0,82.0,92.0,106.0
CA: all,224,25.0,99.55371900826444,0.366116635261761,98.55371900826447,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,51.33884297520662,2.7937928619806818,45.867768595041326,49.586776859504134,51.652892561983464,53.30578512396694,55.99173553719008,25.0,89.68,14.29953379193415,70.0,80.0,87.0,97.0,116.0
CA: all,360,25.0,91.6611570247934,27.463338617367754,0.4132231404958678,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,47.98347107438016,14.622334508707208,0.4132231404958678,49.586776859504134,51.85950413223141,53.51239669421488,60.12396694214877,25.0,79.52,25.253910588263356,2.0,76.0,83.0,90.0,122.0
CA: gaussian,8,25.0,95.58677685950414,19.78828358862463,0.6198347107438017,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,49.256198347107436,10.899127525050886,0.4132231404958678,49.586776859504134,52.47933884297521,53.925619834710744,57.64462809917356,25.0,83.28,19.182283492848292,10.0,76.0,89.0,94.0,106.0
CA: gaussian,48,25.0,95.59504132231405,19.789257924064874,0.6198347107438017,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,48.85950413223142,10.460974569091642,0.4132231404958678,48.34710743801653,50.6198347107438,52.47933884297521,56.611570247933884,25.0,80.92,19.40128861699655,6.0,74.0,79.0,92.0,109.0
CA: gaussian,120,25.0,99.66115702479341,0.34200300324890154,98.96694214876032,99.3801652892562,99.79338842975206,100.0,100.0,25.0,50.950413223140494,2.5819558310131545,45.24793388429752,49.586776859504134,51.03305785123967,52.47933884297521,55.78512396694215,25.0,87.92,11.291294581815379,72.0,79.0,85.0,94.0,115.0
CA: gaussian,224,25.0,99.57851239669422,0.28901012752558175,98.7603305785124,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,51.30578512396694,3.394827830390887,46.074380165289256,49.17355371900827,50.82644628099173,53.099173553719005,58.47107438016529,25.0,87.68,11.272089424769483,72.0,78.0,88.0,94.0,112.0
CA: gaussian,360,25.0,99.48760330578513,0.3824640048736843,98.55371900826447,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,51.314049586776875,2.695126305637206,45.24793388429752,49.79338842975206,51.03305785123967,52.892561983471076,56.611570247933884,25.0,90.16,18.162874221884596,69.0,79.0,87.0,96.0,148.0
CA: radius,8,25.0,93.95867768595039,19.513519417715738,0.4132231404958678,97.31404958677686,97.72727272727273,98.7603305785124,99.17355371900827,25.0,21.776859504132236,5.465126643110392,0.4132231404958678,20.454545454545457,22.31404958677686,25.206611570247933,29.132231404958674,25.0,113.88,24.67002229427448,7.0,111.0,116.0,121.0,146.0
CA: radius,48,25.0,99.35537190082641,0.4857203218321039,97.93388429752066,99.17355371900827,99.3801652892562,99.79338842975206,100.0,25.0,45.38016528925619,2.8215153208319643,38.429752066115704,44.214876033057855,45.24793388429752,48.14049586776859,49.3801652892562,25.0,86.52,11.730018471142035,72.0,78.0,84.0,94.0,122.0
CA: radius,120,25.0,95.57851239669421,19.78442892054589,0.6198347107438017,99.3801652892562,99.58677685950413,99.58677685950413,100.0,25.0,48.30578512396694,10.443766969602319,0.4132231404958678,48.34710743801653,49.79338842975206,52.47933884297521,56.40495867768595,25.0,84.24,21.626141588364764,5.0,77.0,85.0,94.0,124.0
CA: radius,224,25.0,99.48760330578513,0.4347034115167875,97.72727272727273,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,51.471074380165284,2.965625835061502,45.66115702479338,49.586776859504134,51.03305785123967,53.925619834710744,57.231404958677686,25.0,86.4,13.484559070779191,63.0,79.0,84.0,92.0,116.0
CA: radius,360,25.0,99.52066115702479,0.319636401814662,98.7603305785124,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,51.69421487603306,2.969629567816857,46.074380165289256,49.3801652892562,52.27272727272727,53.30578512396694,56.611570247933884,25.0,87.24,11.61995410203213,72.0,78.0,86.0,93.0,118.0
CA: random,8,25.0,99.52892561983472,0.3295006532756367,98.7603305785124,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,51.107438016528924,2.6712620201801074,45.867768595041326,49.586776859504134,51.2396694214876,52.68595041322314,57.64462809917356,25.0,84.48,15.921997362140214,66.0,72.0,80.0,96.0,115.0
CA: random,48,25.0,95.60330578512395,19.833232842093476,0.4132231404958678,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,48.71074380165288,10.450454616176584,0.2066115702479339,48.96694214876033,50.82644628099173,52.68595041322314,55.578512396694215,25.0,79.72,20.107046857590333,3.0,73.0,81.0,89.0,120.0
CA: random,120,25.0,99.59504132231406,0.28278877641387945,98.96694214876032,99.3801652892562,99.58677685950413,99.79338842975206,100.0,25.0,50.61157024793388,3.106900376970064,45.24793388429752,48.96694214876033,50.413223140495866,52.47933884297521,56.81818181818182,25.0,88.0,12.489995996796797,69.0,80.0,85.0,93.0,119.0
