,,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Model,Beta,,,,,,,,,,,,,,,,,,,,,,,,
CA: all,0.4,25.0,86.40495867768595,17.977977051313257,0.4132231404958678,88.84297520661157,90.08264462809917,90.70247933884298,93.18181818181817,25.0,24.40495867768595,5.7519216441120395,0.4132231404958678,22.727272727272727,26.033057851239672,27.479338842975203,31.40495867768595,25.0,77.48,19.235643997537487,7.0,73.0,78.0,87.0,109.0
CA: all,0.5,25.0,71.95867768595042,36.51834030716833,0.4132231404958678,85.3305785123967,89.46280991735537,91.11570247933885,94.83471074380165,25.0,20.619834710743802,10.643170115146503,0.2066115702479339,21.280991735537192,24.173553719008265,28.09917355371901,30.991735537190085,25.0,49.72,23.814421401047447,2.0,46.0,60.0,67.0,70.0
CA: all,0.6,25.0,87.16528925619836,18.131398441733783,0.6198347107438017,89.25619834710744,90.9090909090909,91.94214876033058,94.42148760330579,25.0,25.471074380165287,5.951680497131145,0.4132231404958678,23.7603305785124,27.066115702479337,28.719008264462808,30.37190082644628,25.0,46.32,10.363075476581907,3.0,44.0,48.0,50.0,61.0
CA: all,0.7,25.0,87.41322314049586,18.139499649471677,0.8264462809917356,89.6694214876033,91.32231404958677,91.94214876033058,94.83471074380165,25.0,25.545454545454547,6.03576960829969,0.8264462809917356,24.586776859504134,26.446280991735538,28.09917355371901,33.057851239669425,25.0,41.76,8.866040078110785,9.0,37.0,43.0,45.0,56.0
CA: all,0.8,25.0,80.42148760330578,30.137461691837373,0.4132231404958678,89.6694214876033,91.32231404958677,92.14876033057851,93.59504132231406,25.0,23.59504132231405,9.062690991512937,0.2066115702479339,25.206611570247933,27.27272727272727,27.892561983471076,30.165289256198346,25.0,35.72,13.38070750496151,3.0,34.0,40.0,42.0,54.0
CA: all,0.9,25.0,87.04958677685953,18.055349190909173,0.8264462809917356,88.63636363636364,91.11570247933885,91.94214876033058,93.59504132231406,25.0,24.89256198347107,5.713385885012954,0.6198347107438017,23.553719008264462,25.826446280991732,27.892561983471076,29.75206611570248,25.0,32.96,7.721614684334704,3.0,31.0,33.0,36.0,50.0
CA: all,1.0,25.0,88.70247933884296,18.46899428079044,0.6198347107438017,90.70247933884298,92.56198347107438,94.21487603305785,95.66115702479338,25.0,26.586776859504127,6.638611196514783,0.4132231404958678,25.826446280991732,27.27272727272727,28.92561983471074,36.36363636363637,25.0,28.76,6.5719099202591025,3.0,27.0,30.0,33.0,37.0
CA: gaussian,0.4,25.0,78.42975206611571,29.30887869607031,0.4132231404958678,86.77685950413223,88.42975206611571,90.9090909090909,92.76859504132231,25.0,21.652892561983467,8.412288465510759,0.4132231404958678,21.280991735537192,24.380165289256198,26.033057851239672,30.57851239669421,25.0,68.52,23.93414576151264,7.0,63.0,74.0,81.0,108.0
CA: gaussian,0.5,25.0,83.56198347107438,24.92005065623162,0.4132231404958678,89.6694214876033,90.49586776859503,91.73553719008265,93.80165289256198,25.0,24.123966942148762,7.556468054419315,0.4132231404958678,24.586776859504134,25.826446280991732,27.066115702479337,32.02479338842975,25.0,54.64,16.822306619485925,2.0,50.0,59.0,63.0,75.0
CA: gaussian,0.6,25.0,84.38842975206612,25.325519450397486,0.4132231404958678,89.6694214876033,91.32231404958677,93.18181818181817,96.07438016528926,25.0,24.685950413223136,8.13892253118196,0.4132231404958678,24.173553719008265,24.793388429752067,28.92561983471074,33.88429752066116,25.0,46.04,14.652872300906287,4.0,43.0,48.0,53.0,67.0
CA: gaussian,0.7,25.0,80.36363636363636,30.134463380824176,0.4132231404958678,90.49586776859503,90.9090909090909,91.94214876033058,95.45454545454545,25.0,23.79338842975207,9.040619731869114,0.4132231404958678,25.413223140495866,26.446280991735538,28.305785123966942,30.785123966942145,25.0,39.72,14.945790934797218,3.0,37.0,42.0,47.0,61.0
CA: gaussian,0.8,25.0,83.63636363636364,25.085231394109798,0.4132231404958678,88.42975206611571,91.11570247933885,91.94214876033058,94.42148760330579,25.0,24.11570247933884,8.05156214272089,0.2066115702479339,22.727272727272727,25.206611570247933,27.27272727272727,33.67768595041322,25.0,36.0,10.766460266339475,2.0,33.0,38.0,41.0,53.0
CA: gaussian,0.9,25.0,81.16528925619836,30.452241896052346,0.4132231404958678,90.70247933884298,91.94214876033058,93.18181818181817,95.86776859504133,25.0,24.214876033057852,9.236677258134552,0.4132231404958678,25.0,26.65289256198347,29.545454545454547,32.231404958677686,25.0,28.28,9.821405194777377,2.0,28.0,31.0,34.0,36.0
CA: gaussian,1.0,25.0,81.11570247933885,30.43192752626089,0.4132231404958678,89.6694214876033,92.56198347107438,93.38842975206612,94.62809917355372,25.0,23.818181818181824,9.374209283716716,0.2066115702479339,22.933884297520663,27.066115702479337,29.132231404958674,31.818181818181817,25.0,27.2,9.643650760992955,2.0,27.0,29.0,32.0,39.0
CA: radius,0.4,25.0,71.52892561983474,36.138375749439945,0.4132231404958678,85.3305785123967,88.63636363636364,90.28925619834712,94.62809917355372,25.0,20.65289256198347,10.84472622426733,0.4132231404958678,20.867768595041323,24.173553719008265,26.65289256198347,39.46280991735537,25.0,63.72,28.69308859870846,10.0,61.0,72.0,82.0,100.0
CA: radius,0.5,25.0,80.09090909090907,30.093200400322885,0.4132231404958678,87.60330578512396,91.11570247933885,92.76859504132231,94.00826446280992,25.0,23.719008264462808,9.242260019150844,0.4132231404958678,23.34710743801653,26.033057851239672,28.92561983471074,31.818181818181817,25.0,53.48,20.17655405001888,3.0,52.0,58.0,65.0,90.0
